Asset,Start,End,Days,LS Ret (%),Long Ret (%),B&H (%),LS α vs BH,LS−Long Δpp,LS MaxDD (%),Long MaxDD (%),BH_MaxDD (%),LS Trades,LS WR (%),LS Sharpe,Window
BTC,2026-05-24,2026-08-24,92,5.93,4.01,2.12,3.81,1.92,-7.77,-7.77,-24.79,6,50.0,1.87, 3M
ETH,2026-05-24,2026-08-24,92,15.8,12.73,17.67,-1.87,3.07,-6.04,-6.04,-27.36,5,60.0,2.53, 3M
SOL,2026-05-24,2026-08-24,92,2.91,2.91,12.78,-9.87,0.0,-9.98,-9.98,-28.54,4,25.0,0.73, 3M
BTC,2026-02-24,2026-08-24,181,-1.43,-3.21,22.86,-24.29,1.78,-15.34,-16.87,-29.25,11,36.4,-0.1, 6M
ETH,2026-02-24,2026-08-24,181,1.83,-4.64,33.42,-31.59,6.47,-19.73,-21.86,-36.73,11,36.4,0.27, 6M
SOL,2026-02-24,2026-08-24,181,-1.35,-5.4,21.75,-23.1,4.05,-17.69,-17.69,-37.22,8,37.5,-0.06, 6M
BTC,2025-08-24,2026-08-24,365,-0.68,-2.47,-30.66,29.98,1.79,-16.75,-18.26,-53.45,16,31.2,0.01,12M
ETH,2025-08-24,2026-08-24,365,-2.2,-8.42,-48.31,46.11,6.22,-20.32,-25.39,-67.68,16,37.5,-0.02,12M
SOL,2025-08-24,2026-08-24,365,7.73,3.31,-53.31,61.04,4.42,-17.69,-19.75,-75.18,12,50.0,0.5,12M
BTC,2025-02-24,2026-08-24,546,3.11,1.25,-14.04,17.15,1.86,-16.75,-18.26,-53.45,24,37.5,0.21,18M
ETH,2025-02-24,2026-08-24,546,23.03,9.02,-1.69,24.72,14.01,-29.6,-31.23,-68.03,26,42.3,0.69,18M
SOL,2025-02-24,2026-08-24,546,42.34,31.54,-32.18,74.52,10.8,-17.69,-19.9,-75.18,20,55.0,0.99,18M
BTC,2024-08-24,2026-08-24,730,18.56,16.42,22.67,-4.11,2.14,-21.04,-22.47,-53.45,33,42.4,0.56,24M
ETH,2024-08-24,2026-08-24,730,34.5,19.19,-10.73,45.23,15.31,-29.6,-31.23,-68.03,33,42.4,0.73,24M
SOL,2024-08-24,2026-08-24,730,100.62,85.4,-40.14,140.76,15.22,-17.69,-19.9,-78.47,26,57.7,1.31,24M
BTC,2023-08-24,2026-08-24,1096,13.85,11.79,200.61,-186.76,2.06,-24.91,-24.91,-53.45,54,40.7,0.31,36M
ETH,2023-08-24,2026-08-24,1096,30.25,13.78,48.75,-18.5,16.47,-33.85,-33.85,-68.03,54,44.4,0.47,36M
SOL,2023-08-24,2026-08-24,1096,544.23,495.35,356.65,187.58,48.88,-25.11,-25.11,-78.47,41,56.1,1.77,36M
BTC,2019-12-14,2026-08-24,2445,177.38,182.6,985.21,-807.83,-5.22,-33.67,-33.3,-77.04,113,41.6,0.72,Full
ETH,2020-02-24,2026-08-24,2373,667.92,527.64,823.44,-155.52,140.28,-33.85,-33.85,-81.12,101,50.5,1.06,Full
SOL,2020-10-04,2026-08-24,2150,5733.14,5456.21,3817.15,1915.99,276.93,-43.0,-43.0,-96.6,86,47.7,1.44,Full
