Asset,Start,End,Days,LS Ret (%),Long Ret (%),B&H (%),LS α vs BH,LS−Long Δpp,LS MaxDD (%),Long MaxDD (%),BH_MaxDD (%),LS Trades,LS WR (%),LS Sharpe,WinEnd
BTC,2019-12-14,2020-12-14,366,37.24,41.6,164.14,-126.9,-4.36,-25.59,-25.39,-56.01,20,40.0,1.22,2020-12-14 04:00:00
BTC,2020-03-14,2021-03-14,365,112.26,119.02,999.83,-887.57,-6.76,-25.59,-25.39,-26.56,18,44.4,2.07,2021-03-14 04:00:00
BTC,2020-06-14,2021-06-14,365,79.64,80.11,320.15,-240.51,-0.47,-25.59,-25.39,-50.85,16,37.5,1.7,2021-06-14 04:00:00
BTC,2020-09-14,2021-09-14,365,126.85,127.44,339.64,-212.79,-0.59,-21.86,-21.86,-54.12,12,50.0,2.24,2021-09-14 04:00:00
BTC,2020-12-14,2021-12-14,365,66.52,66.52,145.36,-78.84,0.0,-21.83,-21.83,-54.12,14,50.0,1.49,2021-12-14 04:00:00
BTC,2021-03-14,2022-03-14,365,-1.14,-1.14,-35.4,34.26,0.0,-21.45,-21.45,-54.12,13,38.5,0.09,2022-03-14 04:00:00
BTC,2021-06-14,2022-06-14,365,0.71,1.27,-42.16,42.87,-0.56,-27.82,-24.86,-67.69,16,43.8,0.15,2022-06-14 04:00:00
BTC,2021-09-14,2022-09-14,365,-13.45,-12.97,-55.72,42.27,-0.48,-28.77,-28.38,-73.62,17,29.4,-0.46,2022-09-14 04:00:00
BTC,2021-12-14,2022-12-14,365,-15.88,-15.41,-62.11,46.23,-0.47,-25.97,-25.56,-69.44,15,26.7,-0.75,2022-12-14 04:00:00
BTC,2022-03-14,2023-03-14,365,7.86,8.46,-37.95,45.81,-0.6,-21.45,-21.01,-67.21,17,41.2,0.45,2023-03-14 04:00:00
BTC,2022-06-14,2023-06-14,365,14.06,14.06,13.2,0.86,0.0,-17.59,-17.59,-36.79,16,37.5,0.67,2023-06-14 04:00:00
BTC,2022-09-14,2023-09-14,365,17.49,17.49,30.14,-12.65,0.0,-10.63,-10.63,-26.68,15,46.7,0.95,2023-09-14 04:00:00
BTC,2022-12-14,2023-12-14,365,26.37,26.37,140.92,-114.55,0.0,-14.39,-14.39,-21.19,20,50.0,1.17,2023-12-14 04:00:00
BTC,2023-03-14,2024-03-14,366,12.35,12.35,201.98,-189.63,0.0,-24.91,-24.91,-20.84,22,40.9,0.61,2024-03-14 04:00:00
BTC,2023-06-14,2024-06-14,366,-1.42,-1.42,158.34,-159.76,0.0,-24.91,-24.91,-22.45,21,38.1,0.06,2024-06-14 04:00:00
BTC,2023-09-14,2024-09-14,366,-0.68,-0.68,128.28,-128.96,0.0,-24.91,-24.91,-30.01,20,40.0,0.1,2024-09-14 04:00:00
BTC,2023-12-14,2024-12-14,366,15.71,15.71,137.36,-121.65,0.0,-19.03,-19.03,-30.01,17,47.1,0.69,2024-12-14 04:00:00
BTC,2024-03-14,2025-03-14,365,6.37,6.37,12.22,-5.85,0.0,-14.15,-14.15,-29.89,15,46.7,0.39,2025-03-14 04:00:00
BTC,2024-06-14,2025-06-14,365,9.33,9.33,57.05,-47.72,0.0,-20.87,-20.87,-30.64,17,47.1,0.51,2025-06-14 04:00:00
BTC,2024-09-14,2025-09-14,365,18.52,18.52,92.57,-74.05,0.0,-20.87,-20.87,-30.64,18,50.0,0.89,2025-09-14 04:00:00
BTC,2024-12-14,2025-12-14,365,-0.5,-0.5,-11.37,10.87,0.0,-15.29,-15.29,-34.37,15,40.0,0.05,2025-12-14 04:00:00
BTC,2025-03-14,2026-03-14,365,2.4,2.4,-14.09,16.49,0.0,-11.52,-11.52,-49.84,14,35.7,0.24,2026-03-14 04:00:00
BTC,2025-06-14,2026-06-14,365,1.29,1.29,-38.68,39.97,0.0,-11.37,-11.37,-51.92,12,33.3,0.16,2026-06-14 04:00:00
ETH,2020-02-24,2021-02-24,366,235.87,214.26,520.54,-284.67,21.61,-22.47,-22.47,-61.12,16,62.5,2.42,2021-02-24 12:00:00
ETH,2020-05-24,2021-05-24,365,288.04,288.04,1120.78,-832.74,0.0,-22.62,-22.62,-55.58,16,62.5,2.59,2021-05-24 12:00:00
ETH,2020-08-24,2021-08-24,365,277.82,277.82,696.71,-418.89,0.0,-22.62,-22.62,-60.1,13,69.2,2.56,2021-08-24 12:00:00
ETH,2020-11-24,2021-11-24,365,253.84,253.84,600.6,-346.76,0.0,-22.62,-22.62,-60.1,13,61.5,2.43,2021-11-24 12:00:00
ETH,2021-02-24,2022-02-24,365,42.44,42.44,47.86,-5.42,0.0,-29.65,-29.65,-60.1,13,46.2,1.05,2022-02-24 12:00:00
ETH,2021-05-24,2022-05-24,365,33.91,33.91,-21.78,55.69,0.0,-30.25,-30.25,-60.49,11,45.5,1.02,2022-05-24 12:00:00
ETH,2021-08-24,2022-08-24,365,23.87,23.87,-47.58,71.45,0.0,-30.25,-30.25,-81.12,12,50.0,0.82,2022-08-24 12:00:00
ETH,2021-11-24,2022-11-24,365,1.21,1.21,-71.89,73.1,0.0,-21.09,-21.09,-80.8,10,50.0,0.18,2022-11-24 12:00:00
ETH,2022-02-24,2023-02-24,365,17.87,17.87,-34.71,52.58,0.0,-17.23,-17.23,-74.05,12,58.3,0.75,2023-02-24 12:00:00
ETH,2022-05-24,2023-05-24,365,7.7,7.7,-8.63,16.33,0.0,-19.03,-19.03,-54.57,14,64.3,0.4,2023-05-24 12:00:00
ETH,2022-08-24,2023-08-24,365,-6.23,-6.23,-2.38,-3.85,0.0,-19.03,-19.03,-38.82,14,57.1,-0.13,2023-08-24 12:00:00
ETH,2022-11-24,2023-11-24,365,15.43,13.79,77.07,-61.64,1.64,-19.03,-19.03,-27.71,16,68.8,0.69,2023-11-24 12:00:00
ETH,2023-02-24,2024-02-24,365,30.76,28.9,84.38,-53.62,1.86,-18.33,-18.33,-27.71,17,64.7,1.14,2024-02-24 12:00:00
ETH,2023-05-24,2024-05-24,366,7.75,6.21,105.96,-98.21,1.54,-26.93,-26.93,-29.4,20,50.0,0.4,2024-05-24 12:00:00
ETH,2023-08-24,2024-08-24,366,-3.16,-4.54,68.01,-71.17,1.38,-33.85,-33.85,-43.65,21,47.6,0.05,2024-08-24 12:00:00
ETH,2023-11-24,2024-11-24,366,-7.09,-7.09,55.66,-62.75,0.0,-33.85,-33.85,-45.32,22,40.9,-0.09,2024-11-24 12:00:00
ETH,2024-02-24,2025-02-24,366,-17.01,-17.01,-10.04,-6.97,0.0,-33.85,-33.85,-45.32,18,38.9,-0.49,2025-02-24 12:00:00
ETH,2024-05-24,2025-05-24,365,23.26,16.64,-30.81,54.07,6.62,-18.81,-17.9,-65.12,14,50.0,1.01,2025-05-24 12:00:00
ETH,2024-08-24,2025-08-24,365,50.06,42.0,73.78,-23.72,8.06,-29.6,-29.6,-65.12,17,52.9,1.59,2025-08-24 12:00:00
ETH,2024-11-24,2025-11-24,365,14.64,8.48,-13.6,28.24,6.16,-29.6,-29.6,-65.12,16,43.8,0.65,2025-11-24 12:00:00
ETH,2025-02-24,2026-02-24,365,20.81,14.32,-30.51,51.32,6.49,-29.6,-29.6,-62.22,15,46.7,0.88,2026-02-24 12:00:00
ETH,2025-05-24,2026-05-24,365,-18.4,-21.51,-17.99,-0.41,3.11,-26.04,-28.85,-62.22,18,27.8,-0.74,2026-05-24 12:00:00
ETH,2025-08-24,2026-08-24,365,-1.74,-7.98,-48.15,46.41,6.24,-20.32,-25.39,-67.9,16,37.5,0.0,2026-08-24 12:00:00
SOL,2020-10-04,2021-10-04,365,809.29,809.29,6679.36,-5870.07,0.0,-43.0,-43.0,-60.62,14,50.0,2.5,2021-10-04 12:00:00
SOL,2021-01-04,2022-01-04,365,770.77,770.77,7457.71,-6686.94,0.0,-43.0,-43.0,-60.62,15,53.3,2.58,2022-01-04 12:00:00
SOL,2021-04-04,2022-04-04,365,241.6,216.58,422.66,-181.06,25.02,-36.77,-36.77,-70.0,14,50.0,1.89,2022-04-04 12:00:00
SOL,2021-07-04,2022-07-04,365,217.02,193.81,-1.71,218.73,23.21,-30.46,-35.56,-89.61,11,54.5,2.28,2022-07-04 12:00:00
SOL,2021-10-04,2022-10-04,365,-1.65,-8.85,-79.47,77.82,7.2,-28.6,-30.75,-89.61,14,35.7,0.16,2022-10-04 12:00:00
SOL,2022-01-04,2023-01-04,365,-11.46,-14.26,-92.24,80.78,2.8,-32.89,-30.65,-94.9,15,40.0,-0.14,2023-01-04 12:00:00
SOL,2022-04-04,2023-04-04,365,-14.02,-10.16,-83.87,69.85,-3.86,-30.56,-28.23,-93.47,16,31.2,-0.09,2023-04-04 12:00:00
SOL,2022-07-04,2023-07-04,365,-19.57,-10.55,-42.16,22.59,-9.02,-38.46,-34.49,-81.59,21,33.3,-0.19,2023-07-04 12:00:00
SOL,2022-10-04,2023-10-04,365,23.52,37.38,-33.6,57.12,-13.86,-38.46,-34.49,-76.4,19,42.1,0.68,2023-10-04 12:00:00
SOL,2023-01-04,2024-01-04,365,247.28,269.65,675.9,-428.62,-22.37,-38.46,-34.49,-45.67,17,47.1,2.33,2024-01-04 12:00:00
SOL,2023-04-04,2024-04-04,366,326.33,353.8,796.4,-470.07,-27.47,-28.97,-24.39,-44.13,16,56.2,2.82,2024-04-04 12:00:00
SOL,2023-07-04,2024-07-04,366,300.54,300.54,582.46,-281.92,0.0,-21.88,-21.88,-42.05,13,61.5,2.8,2024-07-04 12:00:00
SOL,2023-10-04,2024-10-04,366,228.22,228.22,527.72,-299.5,0.0,-25.11,-25.11,-44.27,14,57.1,2.48,2024-10-04 12:00:00
SOL,2024-01-04,2025-01-04,366,36.36,36.36,106.75,-70.39,0.0,-25.11,-25.11,-44.27,16,50.0,1.02,2025-01-04 12:00:00
SOL,2024-04-04,2025-04-04,365,23.62,19.13,-36.57,60.19,4.49,-25.11,-25.11,-60.12,14,50.0,0.84,2025-04-04 12:00:00
SOL,2024-07-04,2025-07-04,365,50.44,44.97,8.25,42.19,5.47,-21.21,-21.21,-66.06,15,53.3,1.37,2025-07-04 12:00:00
SOL,2024-10-04,2025-10-04,365,87.72,80.9,57.89,29.83,6.82,-17.63,-17.63,-66.06,15,66.7,1.84,2025-10-04 12:00:00
SOL,2025-01-04,2026-01-04,365,46.28,40.96,-37.05,83.33,5.32,-17.63,-17.63,-66.06,14,64.3,1.3,2026-01-04 12:00:00
SOL,2025-04-04,2026-04-04,365,36.8,31.19,-31.62,68.42,5.61,-17.63,-17.63,-69.11,13,61.5,1.15,2026-04-04 12:00:00
SOL,2025-07-04,2026-07-04,365,18.37,13.52,-43.9,62.27,4.85,-17.63,-17.63,-75.18,12,58.3,0.77,2026-07-04 12:00:00
