entry_date,entry,mode,dir,exit_date,exit,pnl_usd,return_pct,bars_held,tp1,reason,asset
2019-12-22 20:00:00,7507.4411519999985,TREND,LONG,2019-12-24 04:00:00,7259.108064,-29.7704,-3.3078,8,False,risk_cap,BTC
2019-12-29 16:00:00,7479.028439999999,TREND,LONG,2019-12-30 12:00:00,7256.270336,-26.0079,-2.9784,5,False,ema_exit,BTC
2020-01-05 00:00:00,7481.970791999999,TREND,LONG,2020-01-09 08:00:00,7871.8867557518415,52.3501,6.1603,26,True,be_stop,BTC
2020-01-14 00:00:00,8468.609472,STRONG_BULL_TREND,LONG,2020-01-19 08:00:00,8653.562213272975,36.4603,3.8511,32,True,be_stop,BTC
2020-01-27 12:00:00,8786.693736,STRONG_BULL_TREND,LONG,2020-02-17 12:00:00,9486.021453597139,78.0052,7.9485,126,True,be_stop,BTC
2020-04-02 16:00:00,6797.8074,SHORT_RIP,SHORT,2020-04-06 08:00:00,7118.710047968113,-31.4691,-4.7207,22,False,rip_stop,BTC
2020-04-18 12:00:00,7249.164695999999,STRONG_BULL_TREND,LONG,2020-04-20 08:00:00,6960.9767600000005,-40.772,-3.9755,11,False,ema_exit,BTC
2020-04-23 12:00:00,7536.12408,STRONG_BULL_TREND,LONG,2020-05-10 00:00:00,8406.956846977713,100.5039,10.1842,99,True,be_stop,BTC
2020-05-28 12:00:00,9507.409848,STRONG_BULL_TREND,LONG,2020-06-02 12:00:00,9461.234951999999,23.2462,2.1478,30,True,be_stop,BTC
2020-06-22 16:00:00,9571.120775999998,TREND,LONG,2020-06-24 08:00:00,9323.854943999999,-27.0305,-2.5835,10,False,risk_cap,BTC
2020-07-06 12:00:00,9312.464016,TREND,LONG,2020-07-09 12:00:00,9201.213136,-12.2088,-1.1946,18,False,ema_exit,BTC
2020-07-22 20:00:00,9525.774528,TREND,LONG,2020-07-26 08:00:00,9748.311871454536,23.618,2.3362,21,False,risk_cap,BTC
2020-07-27 00:00:00,10257.039072,STRONG_BULL_TREND,LONG,2020-08-02 04:00:00,10586.955294430709,55.6173,5.1045,37,True,be_stop,BTC
2020-08-10 00:00:00,12019.00752,STRONG_BULL_TREND,LONG,2020-08-11 16:00:00,11300.186440351683,-68.3245,-5.9807,10,False,risk_cap,BTC
2020-08-17 12:00:00,12431.487239999999,STRONG_BULL_TREND,LONG,2020-08-19 04:00:00,11732.401017894128,-60.5937,-5.6235,10,False,risk_cap,BTC
2020-09-01 04:00:00,11933.278992,STRONG_BULL_TREND,LONG,2020-09-02 08:00:00,11318.76276641599,-52.523,-5.1496,7,False,risk_cap,BTC
2020-09-15 12:00:00,10775.832432,SHORT_RIP,SHORT,2020-09-16 16:00:00,11082.640736633586,-26.1654,-2.8472,7,False,rip_stop,BTC
2020-10-09 08:00:00,11059.270343999999,TREND,LONG,2020-10-10 00:00:00,11043.60799335664,-1.2681,-0.1416,4,False,risk_cap,BTC
2020-10-12 12:00:00,11558.619503999998,STRONG_BULL_TREND,LONG,2020-12-09 00:00:00,18111.498453884396,390.6938,41.3877,345,True,be_stop,BTC
2020-12-13 08:00:00,19332.263447999998,STRONG_BULL_TREND,LONG,2021-01-20 08:00:00,34398.629064,748.3967,56.9061,228,True,be_stop,BTC
2021-01-29 08:00:00,37054.940255999994,STRONG_BULL_TREND,LONG,2021-01-31 16:00:00,32269.603990908257,-165.2567,-12.9142,14,False,risk_cap,BTC
2021-02-06 00:00:00,39416.247791999995,STRONG_BULL_TREND,LONG,2021-02-23 08:00:00,45100.4699764457,186.5184,15.7999,104,True,be_stop,BTC
2021-03-03 08:00:00,51707.663064,STRONG_BULL_TREND,LONG,2021-03-16 00:00:00,53540.479276019265,82.591,6.3905,76,True,be_stop,BTC
2021-03-29 08:00:00,57900.603456,STRONG_BULL_TREND,LONG,2021-04-18 00:00:00,54970.448432,-22.8147,-1.0737,118,True,be_stop,BTC
2021-05-01 00:00:00,58225.212935999996,TREND,LONG,2021-05-04 00:00:00,54560.03901967765,-125.4191,-6.2948,18,False,risk_cap,BTC
2021-07-23 20:00:00,33660.99727199999,TREND,LONG,2021-07-26 00:00:00,36583.73920828262,163.198,8.6829,13,False,risk_cap,BTC
2021-07-28 08:00:00,40783.44067199999,STRONG_BULL_TREND,LONG,2021-08-04 08:00:00,37690.23010130902,-102.4621,-7.5845,42,False,risk_cap,BTC
2021-08-06 12:00:00,42233.739984,STRONG_BULL_TREND,LONG,2021-09-07 12:00:00,45403.54562292666,167.2191,8.1904,192,True,be_stop,BTC
2021-09-15 08:00:00,47598.788592,TREND,LONG,2021-09-19 08:00:00,47289.867816000005,-13.5299,-0.649,24,False,ema_exit,BTC
2021-10-01 08:00:00,47526.070464,TREND,LONG,2021-10-06 12:00:00,51353.49919115615,171.4441,8.2722,31,True,be_stop,BTC
2021-10-11 12:00:00,57536.172144,STRONG_BULL_TREND,LONG,2021-10-24 08:00:00,60153.051484947384,148.256,6.3073,77,True,be_stop,BTC
2021-11-02 12:00:00,64069.944983999994,STRONG_BULL_TREND,LONG,2021-11-06 08:00:00,60279.208024,-147.4038,-5.9166,23,False,risk_cap,BTC
2021-11-08 00:00:00,65252.14999199999,STRONG_BULL_TREND,LONG,2021-11-16 00:00:00,60858.684072000004,-158.3174,-6.7331,48,False,risk_cap,BTC
2022-02-04 16:00:00,40760.492328,TREND,LONG,2022-02-11 16:00:00,42128.839298183,104.1252,4.9938,42,True,be_stop,BTC
2022-02-28 20:00:00,43194.528,TREND,LONG,2022-03-04 00:00:00,41416.780048,-59.782,-4.1157,19,False,risk_cap,BTC
2022-03-09 08:00:00,42185.381328,TREND,LONG,2022-03-10 04:00:00,39207.50888,-150.0049,-7.059,5,False,ema_exit,BTC
2022-03-18 16:00:00,42076.354176,TREND,LONG,2022-03-27 20:00:00,44805.04846592808,124.6138,6.262,55,True,be_stop,BTC
2022-03-28 00:00:00,47087.03952,STRONG_BULL_TREND,LONG,2022-04-01 00:00:00,44487.70420711248,-122.492,-5.5203,24,False,risk_cap,BTC
2022-04-21 08:00:00,42473.952,TREND,LONG,2022-04-21 20:00:00,40377.395135636245,-98.323,-4.9361,3,False,risk_cap,BTC
2022-05-30 12:00:00,30609.572736000002,SHORT_RIP,SHORT,2022-05-30 20:00:00,31759.607376,-71.5138,-3.7571,2,False,rip_stop,BTC
2022-05-31 16:00:00,31600.409431999997,SHORT_RIP,SHORT,2022-06-01 16:00:00,30572.30586580043,59.833,3.2535,6,False,rip_target,BTC
2022-07-18 04:00:00,22263.726744,TREND,LONG,2022-07-23 08:00:00,22209.747976,-4.5894,-0.2425,31,False,risk_cap,BTC
2022-07-28 00:00:00,23151.956759999997,TREND,LONG,2022-08-01 08:00:00,23011.581342990226,-11.4521,-0.6063,26,False,risk_cap,BTC
2022-08-08 04:00:00,23826.726143999997,STRONG_BULL_TREND,LONG,2022-08-18 16:00:00,23326.204096,-41.6529,-2.1007,63,False,risk_cap,BTC
2022-09-09 12:00:00,21283.803432,TREND,LONG,2022-09-13 12:00:00,20813.106184,-40.714,-2.2115,24,False,risk_cap,BTC
2022-10-04 20:00:00,20354.090256,TREND,LONG,2022-10-07 12:00:00,19561.98788,-70.2182,-3.8916,16,False,ema_exit,BTC
2022-10-14 00:00:00,19832.703479999996,TREND,LONG,2022-10-14 12:00:00,19343.103128,-42.9829,-2.4687,3,False,ema_exit,BTC
2022-10-23 20:00:00,19586.05632,TREND,LONG,2022-10-28 08:00:00,20047.31663777049,57.3079,3.3662,27,True,be_stop,BTC
2022-12-14 12:00:00,18076.279464,TREND,LONG,2022-12-14 20:00:00,17661.975157528905,-40.2023,-2.292,2,False,risk_cap,BTC
2023-01-08 20:00:00,17141.532264,TREND,LONG,2023-01-12 16:00:00,18180.259825203033,91.7904,5.3433,23,True,be_stop,BTC
2023-01-13 12:00:00,19276.598951999997,STRONG_BULL_TREND,LONG,2023-02-05 16:00:00,22829.133487729396,294.0716,15.4734,139,True,be_stop,BTC
