Asset,Start,End,Days,LS Ret (%),Long Ret (%),B&H (%),LS α vs BH,LS−Long Δpp,LS MaxDD (%),Long MaxDD (%),BH_MaxDD (%),LS Trades,LS WR (%),LS Sharpe,Year
BTC,2020-01-01,2021-01-01,366,100.05,106.42,305.24,-205.19,-6.37,-25.59,-25.39,-56.01,18,50.0,2.34,2020
BTC,2021-01-01,2022-01-01,365,15.74,15.74,59.89,-44.15,0.0,-17.69,-17.69,-54.12,14,50.0,0.62,2021
BTC,2022-01-01,2023-01-01,365,-17.61,-17.16,-64.68,47.07,-0.45,-25.97,-25.56,-67.21,16,25.0,-0.85,2022
BTC,2023-01-01,2024-01-01,365,24.25,24.25,156.04,-131.79,0.0,-14.39,-14.39,-21.19,20,50.0,1.09,2023
BTC,2024-01-01,2025-01-01,366,13.82,13.82,121.68,-107.86,0.0,-18.24,-18.24,-30.01,17,47.1,0.63,2024
BTC,2025-01-01,2026-01-01,365,5.04,5.04,-6.39,11.43,0.0,-14.92,-14.92,-34.37,14,42.9,0.39,2025
BTC,2026-01-01,2026-08-24,235,-2.18,-3.94,-10.41,8.23,1.76,-15.75,-17.27,-39.98,13,30.8,-0.15,2026
ETH,2020-02-24,2021-01-01,311,88.45,76.32,178.35,-89.9,12.13,-22.47,-22.47,-61.12,16,62.5,1.93,2020
ETH,2021-01-01,2022-01-01,365,161.21,161.21,399.98,-238.77,0.0,-27.65,-27.65,-60.1,13,53.8,1.97,2021
ETH,2022-01-01,2023-01-01,365,22.48,22.48,-67.94,90.42,0.0,-12.69,-12.69,-76.23,8,62.5,0.95,2022
ETH,2023-01-01,2024-01-01,365,7.36,5.83,90.43,-83.07,1.53,-19.03,-19.03,-27.71,18,61.1,0.4,2023
ETH,2024-01-01,2025-01-01,366,0.62,0.62,47.56,-46.94,0.0,-33.85,-33.85,-45.32,20,40.0,0.17,2024
ETH,2025-01-01,2026-01-01,365,17.62,11.3,-11.18,28.8,6.32,-29.6,-29.6,-61.8,14,42.9,0.78,2025
ETH,2026-01-01,2026-08-24,235,0.3,-6.08,-17.08,17.38,6.38,-19.73,-23.96,-54.12,13,38.5,0.13,2026
SOL,2020-10-04,2021-01-01,88,-32.85,-32.85,-34.71,1.86,0.0,-39.42,-39.42,-54.83,3,0.0,-2.06,2020
SOL,2021-01-01,2022-01-01,365,1135.77,1135.77,10689.19,-9553.42,0.0,-43.0,-43.0,-60.62,15,53.3,2.8,2021
SOL,2022-01-01,2023-01-01,365,-5.61,-15.76,-94.23,88.62,10.15,-30.65,-30.65,-95.09,13,38.5,0.02,2022
SOL,2023-01-01,2024-01-01,365,275.48,333.67,933.8,-658.32,-58.19,-38.46,-34.49,-45.67,18,44.4,2.44,2023
SOL,2024-01-01,2025-01-01,366,16.05,16.05,84.76,-68.71,0.0,-25.11,-25.11,-44.27,16,50.0,0.58,2024
SOL,2025-01-01,2026-01-01,365,50.02,44.56,-34.25,84.27,5.46,-17.63,-17.63,-66.06,13,61.5,1.37,2025
SOL,2026-01-01,2026-08-24,235,3.86,-0.4,-23.19,27.05,4.26,-17.69,-19.28,-58.09,9,44.4,0.4,2026
