,TAKER_STANDARD,MAKER_VIP,ZERO_FEE
2019-10-25 04:00:00,1000.0,1000.0,1000.0
2019-12-14 04:00:00,1000.0,1000.0,1000.0
2019-12-14 08:00:00,1000.0,1000.0,1000.0
2019-12-14 12:00:00,1000.0,1000.0,1000.0
2019-12-14 16:00:00,1000.0,1000.0,1000.0
2019-12-14 20:00:00,1000.0,1000.0,1000.0
2019-12-15 00:00:00,1000.0,1000.0,1000.0
2019-12-15 04:00:00,1000.0,1000.0,1000.0
2019-12-15 08:00:00,1000.0,1000.0,1000.0
2019-12-15 12:00:00,1000.0,1000.0,1000.0
2019-12-15 16:00:00,1000.0,1000.0,1000.0
2019-12-15 20:00:00,1000.0,1000.0,1000.0
2019-12-16 00:00:00,1000.0,1000.0,1000.0
2019-12-16 04:00:00,1000.0,1000.0,1000.0
2019-12-16 08:00:00,1000.0,1000.0,1000.0
2019-12-16 12:00:00,1000.0,1000.0,1000.0
2019-12-16 16:00:00,1000.0,1000.0,1000.0
2019-12-16 20:00:00,1000.0,1000.0,1000.0
2019-12-17 00:00:00,1000.0,1000.0,1000.0
2019-12-17 04:00:00,1000.0,1000.0,1000.0
2019-12-17 08:00:00,1000.0,1000.0,1000.0
2019-12-17 12:00:00,1000.0,1000.0,1000.0
2019-12-17 16:00:00,1000.0,1000.0,1000.0
2019-12-17 20:00:00,1000.0,1000.0,1000.0
2019-12-18 00:00:00,1000.0,1000.0,1000.0
2019-12-18 04:00:00,1000.0,1000.0,1000.0
2019-12-18 08:00:00,1000.0,1000.0,1000.0
2019-12-18 12:00:00,1000.0,1000.0,1000.0
2019-12-18 16:00:00,1000.0,1000.0,1000.0
2019-12-18 20:00:00,1000.0,1000.0,1000.0
2019-12-19 00:00:00,1000.0,1000.0,1000.0
2019-12-19 04:00:00,1000.0,1000.0,1000.0
2019-12-19 08:00:00,1000.0,1000.0,1000.0
2019-12-19 12:00:00,1000.0,1000.0,1000.0
2019-12-19 16:00:00,1000.0,1000.0,1000.0
2019-12-19 20:00:00,1000.0,1000.0,1000.0
2019-12-20 00:00:00,1000.0,1000.0,1000.0
2019-12-20 04:00:00,1000.0,1000.0,1000.0
2019-12-20 08:00:00,1000.0,1000.0,1000.0
2019-12-20 12:00:00,1000.0,1000.0,1000.0
2019-12-20 16:00:00,1000.0,1000.0,1000.0
2019-12-20 20:00:00,1000.0,1000.0,1000.0
2019-12-21 00:00:00,1000.0,1000.0,1000.0
2019-12-21 04:00:00,1000.0,1000.0,1000.0
2019-12-21 08:00:00,1000.0,1000.0,1000.0
2019-12-21 12:00:00,1000.0,1000.0,1000.0
2019-12-21 16:00:00,1000.0,1000.0,1000.0
2019-12-21 20:00:00,1000.0,1000.0,1000.0
2019-12-22 00:00:00,1000.0,1000.0,1000.0
2019-12-22 04:00:00,1000.0,1000.0,1000.0
2019-12-22 08:00:00,1000.0,1000.0,1000.0
2019-12-22 12:00:00,1000.0,1000.0,1000.0
2019-12-22 16:00:00,1000.0,1000.0,1000.0
2019-12-22 20:00:00,999.5505617977528,999.8740440845704,1000.0
2019-12-23 00:00:00,1003.7962784553606,1004.1235805502372,1004.2510238034298
2019-12-23 04:00:00,999.2040215918994,999.5271921016536,999.6530266188893
2019-12-23 08:00:00,1002.027149963237,1002.3528603995512,1002.479683900691
2019-12-23 12:00:00,1003.597365335818,1003.9244884715229,1004.0518620424879
2019-12-23 16:00:00,996.2255971947019,996.5460880603741,996.6708791911954
2019-12-23 20:00:00,990.714505511571,991.0300381301149,991.1528986434605
2019-12-24 00:00:00,990.5568129421024,990.8722036869896,990.9950089582801
2019-12-24 04:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-24 08:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-24 12:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-24 16:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-24 20:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-25 00:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-25 04:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-25 08:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-25 12:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-25 16:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-25 20:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-26 00:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-26 04:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-26 08:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-26 12:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-26 16:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-26 20:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-27 00:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-27 04:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-27 08:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-27 12:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-27 16:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-27 20:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-28 00:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-28 04:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-28 08:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-28 12:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-28 16:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-28 20:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-29 00:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-29 04:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-29 08:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-29 12:00:00,987.7786844701099,988.4052502855125,988.6492193498848
2019-12-29 16:00:00,987.3429780830647,988.2829454383689,988.6492193498848
2019-12-29 20:00:00,983.387189355807,984.3172003041925,984.6795943288081
2019-12-30 00:00:00,981.5807078393975,982.506172016884,982.8667942219067
2019-12-30 04:00:00,983.2495926485153,984.1792572768866,984.5415163449362
2019-12-30 08:00:00,979.9761903035212,980.8976160374514,981.2566645116717
2019-12-30 12:00:00,977.0793085212192,978.299062683911,978.7745372287134
2019-12-30 16:00:00,977.0793085212192,978.299062683911,978.7745372287134
2019-12-30 20:00:00,977.0793085212192,978.299062683911,978.7745372287134
2019-12-31 00:00:00,977.0793085212192,978.299062683911,978.7745372287134
2019-12-31 04:00:00,977.0793085212192,978.299062683911,978.7745372287134
2019-12-31 08:00:00,977.0793085212192,978.299062683911,978.7745372287134
2019-12-31 12:00:00,977.0793085212192,978.299062683911,978.7745372287134
2019-12-31 16:00:00,977.0793085212192,978.299062683911,978.7745372287134
2019-12-31 20:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-01 00:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-01 04:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-01 08:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-01 12:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-01 16:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-01 20:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-02 00:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-02 04:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-02 08:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-02 12:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-02 16:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-02 20:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-03 00:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-03 04:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-03 08:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-03 12:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-03 16:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-03 20:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-04 00:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-04 04:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-04 08:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-04 12:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-04 16:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-04 20:00:00,977.0793085212192,978.299062683911,978.7745372287134
2020-01-05 00:00:00,976.6556239049032,978.1799401720446,978.7745372287134
2020-01-05 04:00:00,976.0952441443454,977.6172419315374,978.2109345550698
2020-01-05 08:00:00,974.2227777923199,975.7370285550855,976.3276990840766
2020-01-05 12:00:00,976.3124139706458,977.8353102626078,978.4293533905676
2020-01-05 16:00:00,975.2116032435954,976.7299451105436,977.3222115688795
2020-01-05 20:00:00,971.3401770499037,972.842501521797,973.4285196350268
2020-01-06 00:00:00,979.5985244111982,981.1350164496595,981.7343632437781
2020-01-06 04:00:00,978.1028182379941,979.6331220358786,980.2300548130743
2020-01-06 08:00:00,979.7717162142185,981.3089248055444,981.9085511251146
2020-01-06 12:00:00,978.6505033114196,980.1830730670539,980.7808897886093
2020-01-06 16:00:00,979.5531862428683,981.0894907020456,981.6887643219623
2020-01-06 20:00:00,989.4414407556233,991.018656256626,991.6338891699924
2020-01-07 00:00:00,995.6482359999891,997.2511311049618,997.876381566578
2020-01-07 04:00:00,995.125486919145,996.7262192349741,997.3506259980416
2020-01-07 08:00:00,995.6591171603882,997.2620572843891,997.8873253078137
2020-01-07 12:00:00,989.7402192849174,991.3186709334012,991.9343860647587
2020-01-07 16:00:00,1004.2242592283801,1005.870564794436,1006.5127129412149
2020-01-07 20:00:00,1006.4962908578973,1008.1519965846087,1008.7978117101711
2020-01-08 00:00:00,1011.4173863247632,1013.0934522821111,1013.7472098819037
2020-01-08 04:00:00,1011.3196372338439,1012.9952987702557,1013.6488986064687
2020-01-08 08:00:00,1012.4370870686714,1014.1173718716941,1014.7727752324632
2020-01-08 12:00:00,1011.5960640461515,1013.2728692534572,1013.9269152327798
2020-01-08 16:00:00,1000.722429782914,1002.3542471002377,1002.9907434180047
2020-01-08 20:00:00,1003.6622019555941,1005.306182101267,1005.9474231074643
2020-01-09 00:00:00,1000.4485419080329,1002.0792260589023,1002.7152803313154
2020-01-09 04:00:00,1000.2936667250179,1001.9237101050535,1002.5595144143927
2020-01-09 08:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-09 12:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-09 16:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-09 20:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-10 00:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-10 04:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-10 08:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-10 12:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-10 16:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-10 20:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-11 00:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-11 04:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-11 08:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-11 12:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-11 16:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-11 20:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-12 00:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-12 04:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-12 08:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-12 12:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-12 16:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-12 20:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-13 00:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-13 04:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-13 08:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-13 12:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-13 16:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-13 20:00:00,997.70717406633,999.5524723430148,1000.2724783769904
2020-01-14 00:00:00,997.2205910069231,999.415473794493,1000.2724783769904
2020-01-14 04:00:00,999.4356150972342,1001.6427773162256,1002.5045765302497
2020-01-14 08:00:00,1000.212138599715,1002.4236056328789,1003.2870857063041
2020-01-14 12:00:00,1007.0485815916385,1009.2979478211382,1010.1762260293747
2020-01-14 16:00:00,1011.2844988966403,1013.5573477854404,1014.4447950418796
2020-01-14 20:00:00,1013.2373082971326,1015.5209829774976,1016.4126572766845
2020-01-15 00:00:00,1009.4466959390511,1011.709356597627,1012.5928257537653
2020-01-15 04:00:00,1004.8243569858953,1007.0613927790661,1007.9348564403801
2020-01-15 08:00:00,1009.5566420984662,1011.8199122656838,1012.7036194108014
2020-01-15 12:00:00,1011.0627664747235,1013.3343861452586,1014.2213534406603
2020-01-15 16:00:00,1011.0089434594449,1013.2802647512726,1014.1671155416091
2020-01-15 20:00:00,1013.7617376767702,1016.0483196368486,1016.9411291135932
2020-01-16 00:00:00,1005.4168701797313,1007.6571906889294,1008.5319369017298
2020-01-16 04:00:00,1007.256513240407,1009.5070321808108,1010.3857604769912
