Final ($),Return (%),CAGR (%),Sharpe,Sortino,MaxDD (%),Trades,WinRate (%),PF,AvgWin (%),AvgLoss (%),Expectancy (%),Top5Share (%),B&H (%),Alpha vs B&H,Asset,Start,End,Days,BH_MaxDD (%),WinEnd
1416.04,41.6,41.47,1.33,1.03,-25.39,19,42.1,2.14,9.89,-3.14,2.35,89.1,164.14,-122.54,BTC,2019-12-14,2020-12-14,366,-56.01,2020-12-14 04:00:00
2190.16,119.02,118.94,2.15,1.9,-25.39,17,47.1,3.84,18.7,-4.46,6.44,94.1,999.83,-880.81,BTC,2020-03-14,2021-03-14,365,-26.56,2021-03-14 04:00:00
1801.06,80.11,80.06,1.71,1.55,-25.39,16,37.5,2.66,21.32,-4.35,5.28,98.4,320.15,-240.04,BTC,2020-06-14,2021-06-14,365,-50.85,2021-06-14 04:00:00
2274.37,127.44,127.35,2.24,2.22,-21.86,12,50.0,3.94,22.89,-5.1,8.9,95.2,339.64,-212.2,BTC,2020-09-14,2021-09-14,365,-54.12,2021-09-14 04:00:00
1665.18,66.52,66.48,1.49,1.38,-21.83,14,50.0,2.26,15.68,-5.88,4.9,86.1,145.36,-78.84,BTC,2020-12-14,2021-12-14,365,-54.12,2021-12-14 04:00:00
988.6,-1.14,,0.09,0.07,-21.45,13,38.5,0.97,7.29,-4.93,-0.23,100.0,-35.4,34.26,BTC,2021-03-14,2022-03-14,365,-54.12,2022-03-14 04:00:00
1012.71,1.27,1.27,0.17,0.13,-24.86,14,42.9,1.03,7.12,-5.31,0.01,88.2,-42.16,43.43,BTC,2021-06-14,2022-06-14,365,-67.69,2022-06-14 04:00:00
870.33,-12.97,,-0.45,-0.29,-28.38,15,26.7,0.65,6.46,-3.64,-0.95,99.2,-55.72,42.75,BTC,2021-09-14,2022-09-14,365,-73.62,2022-09-14 04:00:00
845.9,-15.41,,-0.74,-0.37,-25.56,13,23.1,0.45,4.87,-3.32,-1.43,94.4,-62.11,46.7,BTC,2021-12-14,2022-12-14,365,-69.44,2022-12-14 04:00:00
1084.56,8.46,8.45,0.48,0.3,-21.01,15,40.0,1.39,5.81,-2.7,0.71,97.9,-37.95,46.41,BTC,2022-03-14,2023-03-14,365,-67.21,2023-03-14 04:00:00
1140.55,14.06,14.05,0.67,0.44,-17.59,16,37.5,1.65,7.09,-2.28,1.24,92.5,13.2,0.86,BTC,2022-06-14,2023-06-14,365,-36.79,2023-06-14 04:00:00
1174.93,17.49,17.48,0.95,0.61,-10.63,15,46.7,1.63,7.11,-3.27,1.57,87.5,30.14,-12.65,BTC,2022-09-14,2023-09-14,365,-26.68,2023-09-14 04:00:00
1263.66,26.37,26.35,1.17,0.95,-14.39,20,50.0,1.68,6.57,-3.33,1.62,81.4,140.92,-114.55,BTC,2022-12-14,2023-12-14,365,-21.19,2023-12-14 04:00:00
1123.54,12.35,12.31,0.61,0.45,-24.91,22,40.9,1.26,8.06,-4.01,0.93,90.6,201.98,-189.63,BTC,2023-03-14,2024-03-14,366,-20.84,2024-03-14 04:00:00
985.79,-1.42,,0.06,0.05,-24.91,21,38.1,0.97,7.0,-4.07,0.15,93.6,158.34,-159.76,BTC,2023-06-14,2024-06-14,366,-22.45,2024-06-14 04:00:00
993.23,-0.68,,0.1,0.08,-24.91,20,40.0,0.99,6.69,-4.14,0.19,93.3,128.28,-128.96,BTC,2023-09-14,2024-09-14,366,-30.01,2024-09-14 04:00:00
1157.08,15.71,15.65,0.69,0.54,-19.03,17,47.1,1.42,7.62,-4.5,1.21,86.0,137.36,-121.65,BTC,2023-12-14,2024-12-14,366,-30.01,2024-12-14 04:00:00
1063.65,6.37,6.36,0.39,0.28,-14.15,15,46.7,1.23,5.5,-3.91,0.48,86.4,12.22,-5.85,BTC,2024-03-14,2025-03-14,365,-29.89,2025-03-14 04:00:00
1093.26,9.33,9.32,0.51,0.4,-20.87,17,47.1,1.27,5.71,-3.91,0.62,82.4,57.05,-47.72,BTC,2024-06-14,2025-06-14,365,-30.64,2025-06-14 04:00:00
1185.19,18.52,18.51,0.89,0.72,-20.87,18,50.0,1.6,5.48,-3.42,1.03,79.0,92.57,-74.05,BTC,2024-09-14,2025-09-14,365,-30.64,2025-09-14 04:00:00
995.04,-0.5,,0.05,0.04,-15.29,15,40.0,0.98,4.68,-3.25,-0.08,91.6,-11.37,10.87,BTC,2024-12-14,2025-12-14,365,-34.37,2025-12-14 04:00:00
1024.05,2.4,2.4,0.24,0.16,-11.52,14,35.7,1.12,4.76,-2.29,0.23,100.0,-14.09,16.49,BTC,2025-03-14,2026-03-14,365,-49.84,2026-03-14 04:00:00
1012.88,1.29,1.29,0.16,0.12,-11.37,12,33.3,1.1,3.7,-1.62,0.15,99.6,-38.68,39.97,BTC,2025-06-14,2026-06-14,365,-51.92,2026-06-14 04:00:00
3142.56,214.26,213.11,2.31,2.19,-22.47,15,60.0,6.41,22.17,-5.91,10.94,91.7,520.54,-306.28,ETH,2020-02-24,2021-02-24,366,-61.12,2021-02-24 12:00:00
3880.44,288.04,287.8,2.59,2.66,-22.62,16,62.5,7.14,22.04,-4.52,12.08,91.2,1120.78,-832.74,ETH,2020-05-24,2021-05-24,365,-55.58,2021-05-24 12:00:00
3778.2,277.82,277.59,2.56,2.55,-22.62,13,69.2,10.37,23.21,-5.01,14.53,90.4,696.71,-418.89,ETH,2020-08-24,2021-08-24,365,-60.1,2021-08-24 12:00:00
3538.41,253.84,253.64,2.43,2.53,-22.62,13,61.5,5.66,26.15,-5.28,14.06,88.2,600.6,-346.76,ETH,2020-11-24,2021-11-24,365,-60.1,2021-11-24 12:00:00
1424.42,42.44,42.42,1.05,0.9,-29.65,13,46.2,1.72,15.65,-5.93,4.03,94.2,47.86,-5.42,ETH,2021-02-24,2022-02-24,365,-60.1,2022-02-24 12:00:00
1339.15,33.91,33.9,1.02,0.8,-30.25,11,45.5,1.75,14.59,-5.71,3.52,100.0,-21.78,55.69,ETH,2021-05-24,2022-05-24,365,-60.49,2022-05-24 12:00:00
