Asset,Start,End,Days,V14 (%),B&H (%),V14 DD %,BH DD %,Hyb50 (%),Hyb50 α pp,Hyb50 DD %,Hyb50 beats,Hyb70 (%),Hyb70 α pp,Hyb70 DD %,Hyb70 beats
BTC,2019-12-14,2020-12-14,366,49.15,164.14,-30.52,-56.01,106.65,-57.49,-34.18,0,129.65,-34.49,-43.31,0
BTC,2020-03-14,2021-03-14,365,157.77,999.83,-30.52,-26.56,578.8,-421.03,-23.88,0,747.21,-252.62,-25.2,0
BTC,2020-06-14,2021-06-14,365,103.81,320.15,-28.43,-50.85,211.98,-108.17,-42.3,0,255.25,-64.9,-46.52,0
BTC,2020-09-14,2021-09-14,365,158.79,339.64,-25.67,-54.12,249.22,-90.42,-42.92,0,285.39,-54.25,-48.25,0
BTC,2020-12-14,2021-12-14,365,67.39,145.36,-25.67,-54.12,106.38,-38.98,-41.34,0,121.97,-23.39,-47.2,0
BTC,2021-03-14,2022-03-14,365,-8.91,-35.4,-23.41,-54.12,-22.16,13.24,-36.31,1,-27.45,7.95,-43.36,1
BTC,2021-06-14,2022-06-14,365,-2.13,-42.16,-26.75,-67.69,-22.14,20.02,-49.18,1,-30.15,12.01,-56.75,1
BTC,2021-09-14,2022-09-14,365,-15.15,-55.72,-30.17,-73.62,-35.44,20.28,-52.37,1,-43.55,12.17,-60.84,1
BTC,2021-12-14,2022-12-14,365,-15.41,-62.11,-25.56,-69.44,-38.76,23.35,-43.65,1,-48.1,14.01,-54.24,1
BTC,2022-03-14,2023-03-14,365,10.68,-37.95,-21.01,-67.21,-13.63,24.32,-44.02,1,-23.36,14.59,-53.66,1
BTC,2022-06-14,2023-06-14,365,15.41,13.2,-17.59,-36.79,14.31,1.11,-24.36,1,13.86,0.66,-29.14,1
BTC,2022-09-14,2023-09-14,365,18.89,30.14,-11.39,-26.68,24.51,-5.63,-15.43,0,26.76,-3.38,-19.15,0
BTC,2022-12-14,2023-12-14,365,30.21,140.92,-15.11,-21.19,85.57,-55.35,-15.67,0,107.71,-33.21,-17.66,0
