Asset,Window,Engine,Start,End,Days,Return (%),B&H (%),Alpha vs B&H,MaxDD (%),BH_MaxDD (%),Sharpe,Trades,WinRate (%)
BTC, 3M,V13,2026-05-24,2026-08-24,92,4.01,2.12,1.89,-7.77,-24.79,1.32,5,40.0
BTC, 3M,V14,2026-05-24,2026-08-24,92,4.87,2.12,2.75,-7.77,-24.79,1.45,5,40.0
ETH, 3M,V13,2026-05-24,2026-08-24,92,12.73,17.67,-4.94,-6.04,-27.36,2.1,4,50.0
ETH, 3M,V14,2026-05-24,2026-08-24,92,16.13,17.67,-1.54,-6.04,-27.36,2.4,4,50.0
SOL, 3M,V13,2026-05-24,2026-08-24,92,2.91,12.78,-9.87,-9.98,-28.54,0.73,4,25.0
SOL, 3M,V14,2026-05-24,2026-08-24,92,4.99,12.78,-7.79,-9.98,-28.54,1.05,4,25.0
BTC, 6M,V13,2026-02-24,2026-08-24,181,-3.21,22.86,-26.07,-16.87,-29.25,-0.34,10,30.0
BTC, 6M,V14,2026-02-24,2026-08-24,181,-2.41,22.86,-25.27,-16.87,-29.25,-0.22,10,30.0
ETH, 6M,V13,2026-02-24,2026-08-24,181,-4.64,33.42,-38.06,-21.86,-36.73,-0.3,9,22.2
ETH, 6M,V14,2026-02-24,2026-08-24,181,-1.76,33.42,-35.18,-21.86,-36.73,-0.03,9,22.2
SOL, 6M,V13,2026-02-24,2026-08-24,181,-5.4,21.75,-27.15,-17.69,-37.22,-0.55,7,28.6
SOL, 6M,V14,2026-02-24,2026-08-24,181,-3.49,21.75,-25.24,-17.69,-37.22,-0.28,7,28.6
BTC,12M,V13,2025-08-24,2026-08-24,365,-2.47,-30.66,28.19,-18.26,-53.45,-0.13,15,26.7
BTC,12M,V14,2025-08-24,2026-08-24,365,-1.67,-30.66,28.99,-18.26,-53.45,-0.06,15,26.7
ETH,12M,V13,2025-08-24,2026-08-24,365,-8.42,-48.31,39.89,-25.39,-67.68,-0.38,14,28.6
ETH,12M,V14,2025-08-24,2026-08-24,365,-5.65,-48.31,42.66,-25.39,-67.68,-0.21,14,28.6
SOL,12M,V13,2025-08-24,2026-08-24,365,3.31,-53.31,56.62,-19.75,-75.18,0.27,11,45.5
SOL,12M,V14,2025-08-24,2026-08-24,365,2.27,-53.31,55.58,-22.71,-75.18,0.21,11,45.5
BTC,18M,V13,2025-02-24,2026-08-24,546,1.25,-14.04,15.29,-18.26,-53.45,0.13,23,34.8
BTC,18M,V14,2025-02-24,2026-08-24,546,0.85,-14.04,14.89,-18.26,-53.45,0.11,23,34.8
ETH,18M,V13,2025-02-24,2026-08-24,546,9.02,-1.69,10.71,-31.23,-68.03,0.36,22,31.8
ETH,18M,V14,2025-02-24,2026-08-24,546,12.29,-1.69,13.98,-33.78,-68.03,0.42,22,31.8
SOL,18M,V13,2025-02-24,2026-08-24,546,31.54,-32.18,63.72,-19.9,-75.18,0.81,18,50.0
SOL,18M,V14,2025-02-24,2026-08-24,546,28.96,-32.18,61.14,-22.71,-75.18,0.72,18,50.0
BTC,24M,V13,2024-08-24,2026-08-24,730,16.42,22.67,-6.25,-22.47,-53.45,0.51,32,40.6
BTC,24M,V14,2024-08-24,2026-08-24,730,16.65,22.67,-6.02,-26.14,-53.45,0.48,32,40.6
ETH,24M,V13,2024-08-24,2026-08-24,730,19.19,-10.73,29.92,-31.23,-68.03,0.48,29,34.5
ETH,24M,V14,2024-08-24,2026-08-24,730,20.68,-10.73,31.41,-33.78,-68.03,0.49,29,34.5
SOL,24M,V13,2024-08-24,2026-08-24,730,85.4,-40.14,125.54,-19.9,-78.47,1.19,24,54.2
SOL,24M,V14,2024-08-24,2026-08-24,730,83.59,-40.14,123.73,-22.71,-78.47,1.08,24,54.2
BTC,36M,V13,2023-08-24,2026-08-24,1096,11.79,200.61,-188.82,-24.91,-53.45,0.28,53,39.6
BTC,36M,V14,2023-08-24,2026-08-24,1096,19.24,200.61,-181.37,-26.42,-53.45,0.37,53,39.6
ETH,36M,V13,2023-08-24,2026-08-24,1096,13.78,48.75,-34.97,-33.85,-68.03,0.3,49,38.8
ETH,36M,V14,2023-08-24,2026-08-24,1096,10.68,48.75,-38.07,-33.85,-68.03,0.26,49,38.8
SOL,36M,V13,2023-08-24,2026-08-24,1096,495.35,356.65,138.7,-25.11,-78.47,1.71,39,53.8
SOL,36M,V14,2023-08-24,2026-08-24,1096,537.04,356.65,180.39,-27.38,-78.47,1.6,39,53.8
BTC,Full,V13,2019-12-14,2026-08-24,2445,182.6,985.21,-802.61,-33.3,-77.04,0.73,109,41.3
BTC,Full,V14,2019-12-14,2026-08-24,2445,222.56,985.21,-762.65,-35.38,-77.04,0.73,109,40.4
ETH,Full,V13,2020-02-24,2026-08-24,2373,527.64,823.44,-295.8,-33.85,-81.12,0.98,95,47.4
ETH,Full,V14,2020-02-24,2026-08-24,2373,544.16,823.44,-279.28,-33.85,-81.12,0.93,95,47.4
SOL,Full,V13,2020-10-04,2026-08-24,2150,5456.21,3817.15,1639.06,-43.0,-96.6,1.43,80,46.2
SOL,Full,V14,2020-10-04,2026-08-24,2150,7274.95,3817.15,3457.8,-46.26,-96.6,1.43,80,46.2
