Asset,Start,End,BASE (%),BASE DD,B&H (%),BH DD,BASE beats,R1_reentry (%),R1_reentry DD,R1_reentry beats,R2_widestop (%),R2_widestop DD,R2_widestop beats,R3_both (%),R3_both DD,R3_both beats
BTC,2019-12-14,2020-12-14,49.15,-30.52,164.14,-56.01,0,61.94,-24.07,0,63.26,-28.43,0,79.18,-21.39,0
BTC,2020-03-14,2021-03-14,157.77,-30.52,999.83,-26.56,0,239.38,-24.07,0,166.31,-31.53,0,240.74,-29.46,0
BTC,2020-06-14,2021-06-14,103.81,-28.43,320.15,-50.85,0,174.52,-23.51,0,103.15,-31.53,0,160.04,-29.46,0
BTC,2020-09-14,2021-09-14,158.79,-25.67,339.64,-54.12,0,232.16,-23.51,0,147.7,-31.53,0,222.86,-29.46,0
BTC,2020-12-14,2021-12-14,67.39,-25.67,145.36,-54.12,0,126.82,-23.51,0,41.41,-31.53,0,98.02,-29.46,0
BTC,2021-03-14,2022-03-14,-8.91,-23.41,-35.4,-54.12,1,6.73,-19.34,1,-14.91,-25.5,1,5.53,-19.96,1
BTC,2021-06-14,2022-06-14,-2.13,-26.75,-42.16,-67.69,1,8.37,-24.92,1,-8.57,-28.74,1,7.15,-27.65,1
BTC,2021-09-14,2022-09-14,-15.15,-30.17,-55.72,-73.62,1,-13.03,-28.43,1,-17.97,-32.5,1,-16.72,-31.47,1
BTC,2021-12-14,2022-12-14,-15.41,-25.56,-62.11,-69.44,1,-20.07,-29.66,1,-15.94,-26.02,1,-20.57,-30.09,1
BTC,2022-03-14,2023-03-14,10.68,-21.01,-37.95,-67.21,1,-0.09,-25.36,1,3.65,-21.51,1,-3.95,-25.83,1
BTC,2022-06-14,2023-06-14,15.41,-17.59,13.2,-36.79,1,7.91,-17.59,0,9.27,-18.11,0,7.16,-18.11,0
BTC,2022-09-14,2023-09-14,18.89,-11.39,30.14,-26.68,0,9.01,-17.67,0,13.27,-13.61,0,8.93,-15.28,0
BTC,2022-12-14,2023-12-14,30.21,-15.11,140.92,-21.19,0,42.19,-21.17,0,60.95,-17.24,0,61.41,-18.84,0
BTC,2023-03-14,2024-03-14,23.34,-26.42,201.98,-20.84,0,52.3,-21.17,0,96.43,-17.24,0,100.87,-18.84,0
BTC,2023-06-14,2024-06-14,4.93,-26.42,158.34,-22.45,0,32.03,-18.68,0,55.83,-23.99,0,67.56,-19.16,0
BTC,2023-09-14,2024-09-14,5.72,-26.42,128.28,-30.01,0,35.65,-19.54,0,57.0,-23.99,0,72.16,-20.02,0
BTC,2023-12-14,2024-12-14,21.66,-21.44,137.36,-30.01,0,42.97,-20.09,0,32.52,-24.42,0,73.03,-20.56,0
BTC,2024-03-14,2025-03-14,7.0,-17.22,12.22,-29.89,0,6.55,-16.25,0,18.27,-12.15,1,21.36,-19.18,1
BTC,2024-06-14,2025-06-14,8.61,-23.7,57.05,-30.64,0,20.9,-22.96,0,19.86,-18.23,0,34.04,-25.95,0
BTC,2024-09-14,2025-09-14,17.79,-23.7,92.57,-30.64,0,20.64,-22.96,0,25.66,-19.22,0,33.74,-25.95,0
BTC,2024-12-14,2025-12-14,-1.7,-15.29,-11.37,-34.37,1,-12.1,-20.77,0,-8.98,-17.63,1,-13.48,-22.0,0
BTC,2025-03-14,2026-03-14,1.17,-11.7,-14.09,-49.84,1,-3.29,-13.34,1,-7.25,-14.09,1,-5.75,-13.34,1
BTC,2025-06-14,2026-06-14,1.33,-11.37,-38.68,-51.92,1,0.66,-12.48,1,-5.01,-14.37,1,-1.9,-14.7,1
ETH,2020-02-24,2021-02-24,225.88,-22.99,520.54,-61.12,0,211.4,-23.53,0,269.85,-28.26,0,347.52,-24.66,0
ETH,2020-05-24,2021-05-24,299.72,-27.55,1120.78,-55.58,0,308.23,-24.93,0,522.65,-28.57,0,566.67,-28.57,0
ETH,2020-08-24,2021-08-24,274.2,-27.55,696.71,-60.1,0,317.91,-24.93,0,477.98,-28.63,0,501.43,-28.63,0
ETH,2020-11-24,2021-11-24,265.27,-27.55,600.6,-60.1,0,265.86,-24.93,0,383.54,-28.63,0,333.75,-28.63,0
ETH,2021-02-24,2022-02-24,47.37,-32.14,47.86,-60.1,0,55.46,-32.14,1,98.55,-28.89,1,87.64,-32.89,1
ETH,2021-05-24,2022-05-24,38.7,-32.72,-21.78,-60.49,1,38.7,-32.72,1,42.34,-29.5,1,34.34,-33.46,1
ETH,2021-08-24,2022-08-24,19.79,-32.72,-47.58,-81.12,1,19.79,-32.72,1,25.53,-29.5,1,18.47,-33.46,1
ETH,2021-11-24,2022-11-24,1.21,-21.09,-71.89,-80.8,1,-1.66,-21.09,1,1.21,-21.09,1,-1.66,-21.09,1
ETH,2022-02-24,2023-02-24,17.87,-17.23,-34.71,-74.05,1,24.37,-15.17,1,17.87,-17.23,1,24.37,-15.17,1
ETH,2022-05-24,2023-05-24,5.91,-19.03,-8.63,-54.57,1,12.82,-15.17,1,0.83,-20.34,1,6.75,-18.22,1
ETH,2022-08-24,2023-08-24,-7.79,-19.03,-2.38,-38.82,0,-1.8,-14.5,1,-13.18,-20.39,0,-5.39,-18.28,0
ETH,2022-11-24,2023-11-24,8.93,-19.03,77.07,-27.71,0,21.2,-14.61,0,11.32,-20.39,0,21.3,-18.28,0
ETH,2023-02-24,2024-02-24,21.79,-20.82,84.38,-27.71,0,20.5,-21.19,0,24.35,-21.77,0,25.61,-19.3,0
ETH,2023-05-24,2024-05-24,2.05,-26.93,105.96,-29.4,0,9.37,-21.19,0,30.35,-21.77,0,31.21,-19.38,0
ETH,2023-08-24,2024-08-24,-8.28,-33.85,68.01,-43.65,0,1.09,-27.74,0,18.45,-27.01,0,19.12,-27.09,0
ETH,2023-11-24,2024-11-24,-7.04,-33.85,55.66,-45.32,0,-1.35,-27.74,0,10.71,-27.01,0,5.5,-27.09,0
ETH,2024-02-24,2025-02-24,-18.42,-33.85,-10.04,-45.32,0,1.98,-21.88,1,4.73,-27.01,1,6.85,-21.88,1
ETH,2024-05-24,2025-05-24,14.2,-21.09,-30.81,-65.12,1,20.43,-18.82,1,37.81,-14.94,1,37.67,-14.94,1
ETH,2024-08-24,2025-08-24,39.56,-32.59,73.78,-65.12,0,69.02,-25.09,0,93.16,-22.82,1,98.66,-20.62,1
ETH,2024-11-24,2025-11-24,5.27,-32.59,-13.6,-65.12,1,15.49,-25.09,1,31.72,-22.82,1,38.89,-20.62,1
ETH,2025-02-24,2026-02-24,14.3,-32.59,-30.51,-62.22,1,21.89,-25.09,1,43.02,-22.82,1,47.09,-20.62,1
ETH,2025-05-24,2026-05-24,-21.21,-31.49,-17.99,-62.22,0,-24.9,-37.87,0,-15.77,-27.65,1,-13.72,-29.49,1
ETH,2025-08-24,2026-08-24,-5.0,-25.39,-48.15,-67.9,1,-15.69,-32.9,1,-4.59,-25.06,1,-12.68,-30.5,1
SOL,2020-10-04,2021-10-04,1068.34,-46.26,6679.36,-60.62,0,630.24,-55.09,0,1433.48,-47.19,0,837.36,-60.68,0
SOL,2021-01-04,2022-01-04,1005.84,-46.26,7457.71,-60.62,0,836.05,-56.2,0,1351.45,-47.19,0,1076.23,-61.65,0
SOL,2021-04-04,2022-04-04,233.25,-41.51,422.66,-70.0,0,131.16,-56.2,0,245.02,-48.8,0,131.44,-61.65,0
SOL,2021-07-04,2022-07-04,207.52,-41.51,-1.71,-89.61,1,138.89,-56.2,1,169.21,-48.8,1,104.72,-61.65,1
SOL,2021-10-04,2022-10-04,-11.56,-32.91,-79.47,-89.61,1,-0.06,-37.84,1,-11.56,-32.91,1,-2.16,-39.15,1
SOL,2022-01-04,2023-01-04,-14.26,-30.65,-92.24,-94.9,1,-4.73,-23.39,1,-14.26,-30.65,1,-4.73,-23.39,1
SOL,2022-04-04,2023-04-04,-9.43,-28.35,-83.87,-93.47,1,-8.45,-34.81,1,-20.13,-36.81,1,-11.25,-36.81,1
